date,Felipe Silva
2004-01-01,0
2004-02-01,48
2004-03-01,100
2004-04-01,0
2004-05-01,47
2004-06-01,39
2004-07-01,36
2004-08-01,43
2004-09-01,59
2004-10-01,56
2004-11-01,0
2004-12-01,49
2005-01-01,70
2005-02-01,40
2005-03-01,51
2005-04-01,47
2005-05-01,45
2005-06-01,56
2005-07-01,45
2005-08-01,57
2005-09-01,40
2005-10-01,45
2005-11-01,44
2005-12-01,55
2006-01-01,53
2006-02-01,40
2006-03-01,46
2006-04-01,65
2006-05-01,59
2006-06-01,48
2006-07-01,44
2006-08-01,49
2006-09-01,44
2006-10-01,41
2006-11-01,41
2006-12-01,46
2007-01-01,45
2007-02-01,32
2007-03-01,35
2007-04-01,46
2007-05-01,59
2007-06-01,45
2007-07-01,50
2007-08-01,42
2007-09-01,37
2007-10-01,52
2007-11-01,48
2007-12-01,49
2008-01-01,43
2008-02-01,45
2008-03-01,46
2008-04-01,49
2008-05-01,53
2008-06-01,52
2008-07-01,54
2008-08-01,60
2008-09-01,54
2008-10-01,67
2008-11-01,53
2008-12-01,56
2009-01-01,77
2009-02-01,64
2009-03-01,62
2009-04-01,55
2009-05-01,64
2009-06-01,74
2009-07-01,74
2009-08-01,82
2009-09-01,75
2009-10-01,64
2009-11-01,72
2009-12-01,67
2010-01-01,71
2010-02-01,57
2010-03-01,70
2010-04-01,82
2010-05-01,77
2010-06-01,100
2010-07-01,86
2010-08-01,78
2010-09-01,70
2010-10-01,74
2010-11-01,66
2010-12-01,71
2011-01-01,69
2011-02-01,68
2011-03-01,65
2011-04-01,69
2011-05-01,79
2011-06-01,81
2011-07-01,81
2011-08-01,78
2011-09-01,69
2011-10-01,80
2011-11-01,66
2011-12-01,71
2012-01-01,70
2012-02-01,67
2012-03-01,63
2012-04-01,64
2012-05-01,64
2012-06-01,69
2012-07-01,71
2012-08-01,72
2012-09-01,68
2012-10-01,65
2012-11-01,67
2012-12-01,56
2013-01-01,61
2013-02-01,61
2013-03-01,60
2013-04-01,62
2013-05-01,63
2013-06-01,64
2013-07-01,74
2013-08-01,59
2013-09-01,63
2013-10-01,54
2013-11-01,62
2013-12-01,54
2014-01-01,53
2014-02-01,61
2014-03-01,50
2014-04-01,55
2014-05-01,67
2014-06-01,76
2014-07-01,89
2014-08-01,63
2014-09-01,62
2014-10-01,58
2014-11-01,53
2014-12-01,53
2015-01-01,60
2015-02-01,68
2015-03-01,67
2015-04-01,55
2015-05-01,59
2015-06-01,64
2015-07-01,62
2015-08-01,68
2015-09-01,68
2015-10-01,59
2015-11-01,56
2015-12-01,60
2016-01-01,60
2016-02-01,67
2016-03-01,66
2016-04-01,60
2016-05-01,64
2016-06-01,60
2016-07-01,70
2016-08-01,80
2016-09-01,58
2016-10-01,52
2016-11-01,53
2016-12-01,75
2017-01-01,63
2017-02-01,66
2017-03-01,60
2017-04-01,57
2017-05-01,57
2017-06-01,65
2017-07-01,58
2017-08-01,61
2017-09-01,66
2017-10-01,62
2017-11-01,58
2017-12-01,54
2018-01-01,60
2018-02-01,54
2018-03-01,53
2018-04-01,59
2018-05-01,64
2018-06-01,67
2018-07-01,69
2018-08-01,68
2018-09-01,61
2018-10-01,60
2018-11-01,53
2018-12-01,48
2019-01-01,55
2019-02-01,55
2019-03-01,58
2019-04-01,59
2019-05-01,57
2019-06-01,56
2019-07-01,62
2019-08-01,61
2019-09-01,66
2019-10-01,60
2019-11-01,58
2019-12-01,51
2020-01-01,59
2020-02-01,60
2020-03-01,47
2020-04-01,70
2020-05-01,94
2020-06-01,61
2020-07-01,64
2020-08-01,64
2020-09-01,55
2020-10-01,56
2020-11-01,57
2020-12-01,49
2021-01-01,51
2021-02-01,55
2021-03-01,51
2021-04-01,58
2021-05-01,60
2021-06-01,62
2021-07-01,62
2021-08-01,93
2021-09-01,69
2021-10-01,62
2021-11-01,54
2021-12-01,50
2022-01-01,64
2022-02-01,76
2022-03-01,67
2022-04-01,78
2022-05-01,64
2022-06-01,70
2022-07-01,71
2022-08-01,72
2022-09-01,67
2022-10-01,85
2022-11-01,63
2022-12-01,58
2023-01-01,65
2023-02-01,58
2023-03-01,62
2023-04-01,62
2023-05-01,67
2023-06-01,62
2023-07-01,72
2023-08-01,75
2023-09-01,67
2023-10-01,69
2023-11-01,65
2023-12-01,57
2024-01-01,67
2024-02-01,72
2024-03-01,66
2024-04-01,72
2024-05-01,75
2024-06-01,78
2024-07-01,84
