date,Paul Bradley
2004-01-01,83
2004-02-01,99
2004-03-01,67
2004-04-01,84
2004-05-01,86
2004-06-01,47
2004-07-01,46
2004-08-01,65
2004-09-01,63
2004-10-01,0
2004-11-01,0
2004-12-01,46
2005-01-01,62
2005-02-01,80
2005-03-01,50
2005-04-01,64
2005-05-01,56
2005-06-01,60
2005-07-01,77
2005-08-01,72
2005-09-01,49
2005-10-01,67
2005-11-01,75
2005-12-01,56
2006-01-01,43
2006-02-01,52
2006-03-01,67
2006-04-01,68
2006-05-01,58
2006-06-01,51
2006-07-01,57
2006-08-01,50
2006-09-01,47
2006-10-01,54
2006-11-01,62
2006-12-01,50
2007-01-01,48
2007-02-01,44
2007-03-01,41
2007-04-01,51
2007-05-01,53
2007-06-01,54
2007-07-01,60
2007-08-01,49
2007-09-01,33
2007-10-01,38
2007-11-01,39
2007-12-01,39
2008-01-01,49
2008-02-01,49
2008-03-01,44
2008-04-01,72
2008-05-01,50
2008-06-01,54
2008-07-01,47
2008-08-01,43
2008-09-01,38
2008-10-01,46
2008-11-01,52
2008-12-01,43
2009-01-01,42
2009-02-01,51
2009-03-01,38
2009-04-01,46
2009-05-01,51
2009-06-01,64
2009-07-01,47
2009-08-01,51
2009-09-01,48
2009-10-01,42
2009-11-01,44
2009-12-01,44
2010-01-01,54
2010-02-01,60
2010-03-01,41
2010-04-01,45
2010-05-01,47
2010-06-01,62
2010-07-01,61
2010-08-01,47
2010-09-01,43
2010-10-01,43
2010-11-01,47
2010-12-01,47
2011-01-01,49
2011-02-01,49
2011-03-01,66
2011-04-01,63
2011-05-01,54
2011-06-01,67
2011-07-01,59
2011-08-01,64
2011-09-01,44
2011-10-01,52
2011-11-01,62
2011-12-01,59
2012-01-01,54
2012-02-01,53
2012-03-01,39
2012-04-01,52
2012-05-01,52
2012-06-01,66
2012-07-01,63
2012-08-01,70
2012-09-01,53
2012-10-01,51
2012-11-01,55
2012-12-01,59
2013-01-01,60
2013-02-01,61
2013-03-01,52
2013-04-01,56
2013-05-01,54
2013-06-01,61
2013-07-01,57
2013-08-01,56
2013-09-01,50
2013-10-01,50
2013-11-01,43
2013-12-01,97
2014-01-01,53
2014-02-01,50
2014-03-01,50
2014-04-01,56
2014-05-01,52
2014-06-01,51
2014-07-01,58
2014-08-01,57
2014-09-01,41
2014-10-01,48
2014-11-01,43
2014-12-01,49
2015-01-01,54
2015-02-01,57
2015-03-01,52
2015-04-01,60
2015-05-01,67
2015-06-01,45
2015-07-01,53
2015-08-01,70
2015-09-01,57
2015-10-01,44
2015-11-01,42
2015-12-01,38
2016-01-01,47
2016-02-01,41
2016-03-01,38
2016-04-01,41
2016-05-01,39
2016-06-01,32
2016-07-01,39
2016-08-01,38
2016-09-01,35
2016-10-01,36
2016-11-01,39
2016-12-01,40
2017-01-01,38
2017-02-01,43
2017-03-01,37
2017-04-01,40
2017-05-01,40
2017-06-01,40
2017-07-01,44
2017-08-01,51
2017-09-01,35
2017-10-01,34
2017-11-01,33
2017-12-01,37
2018-01-01,39
2018-02-01,45
2018-03-01,36
2018-04-01,33
2018-05-01,37
2018-06-01,35
2018-07-01,33
2018-08-01,39
2018-09-01,33
2018-10-01,60
2018-11-01,50
2018-12-01,36
2019-01-01,42
2019-02-01,61
2019-03-01,39
2019-04-01,37
2019-05-01,45
2019-06-01,45
2019-07-01,69
2019-08-01,40
2019-09-01,32
2019-10-01,40
2019-11-01,42
2019-12-01,33
2020-01-01,38
2020-02-01,41
2020-03-01,33
2020-04-01,36
2020-05-01,37
2020-06-01,32
2020-07-01,34
2020-08-01,37
2020-09-01,31
2020-10-01,35
2020-11-01,32
2020-12-01,32
2021-01-01,43
2021-02-01,42
2021-03-01,39
2021-04-01,40
2021-05-01,32
2021-06-01,36
2021-07-01,35
2021-08-01,33
2021-09-01,29
2021-10-01,28
2021-11-01,31
2021-12-01,33
2022-01-01,35
2022-02-01,33
2022-03-01,36
2022-04-01,30
2022-05-01,27
2022-06-01,30
2022-07-01,25
2022-08-01,27
2022-09-01,23
2022-10-01,34
2022-11-01,31
2022-12-01,36
2023-01-01,35
2023-02-01,55
2023-03-01,34
2023-04-01,27
2023-05-01,27
2023-06-01,85
2023-07-01,36
2023-08-01,37
2023-09-01,26
2023-10-01,39
2023-11-01,32
2023-12-01,38
2024-01-01,67
2024-02-01,40
2024-03-01,60
2024-04-01,45
2024-05-01,29
2024-06-01,100
2024-07-01,42
